sku;product-id;product-id-type;price;quantity;state;discount-price;discount-start-date;discount-end-date;update-delete;canon;tipo-iva
ASM2-020B;8436574707564;EAN;17.19;0;Nuevo;;;;update;0,00;21,00
ASM2-021GR;8436574707571;EAN;17.85;1;Nuevo;;;;update;0,00;21,00
ASE-2523B;8436574707618;EAN;12.58;5;Nuevo;;;;update;0,00;21,00
COO-PCT310-1;8436556141720;EAN;63.44;21;Nuevo;;;;update;0,00;21,00
CM-H71EW-02;5056547203522;EAN;166.92;0;Nuevo;;;;update;0,00;21,00
DP-MATX-MATREXX30-SI;6933412714125;EAN;29.97;17;Nuevo;;;;update;0,00;21,00
ASM2-022B;8436574707847;EAN;17.62;21;Nuevo;;;;update;0,00;21,00
ASM2-023GR;8436574707854;EAN;17.16;5;Nuevo;;;;update;0,00;21,00
R-CC360-WHAPM3-G-1;6933412774945;EAN;58.85;36;Nuevo;;;;update;0,00;21,00
R-CC360-BKAPM3-G-1;6933412774976;EAN;57.03;0;Nuevo;;;;update;0,00;21,00
UK52107;6974560220670;EAN;54.32;0;Nuevo;;;;update;0,00;21,00
52090;6940533542285;EAN;58.67;0;Nuevo;;;;update;0,00;21,00
DP-MATX-MATREXX30 SI;CPCAJA56902;EAN;34.55;0;Nuevo;;;;update;0,00;21,00
DG-CHA-A230-0;8436556142185;EAN;44.99;0;Nuevo;;;;update;0,00;21,00
TQE-2200;8433281013209;EAN;25.89;3;Nuevo;;;;update;0,00;21,00
R-CH560-WHAPE4-G-1;6933412774907;EAN;98.69;7;Nuevo;;;;update;0,00;21,00
R-CH560-WHAPE4D-G-1;6933412774877;EAN;97.07;54;Nuevo;;;;update;0,00;21,00
UK52112;6974560220977;EAN;58.99;1;Nuevo;;;;update;0,00;21,00
UK52115;6974560220984;EAN;60.08;0;Nuevo;;;;update;0,00;21,00
UK511208;6974560220861;EAN;59.61;0;Nuevo;;;;update;0,00;21,00
ASE-2524B;8436574707908;EAN;12.85;18;Nuevo;;;;update;0,00;21,00
AB812113;6974560222551;EAN;69.37;0;Nuevo;;;;update;0,00;21,00
AB812111B;6974560222575;EAN;98.77;5;Nuevo;;;;update;0,00;21,00
AB812111W;6974560222674;EAN;99.77;0;Nuevo;;;;update;0,00;21,00
TQE-2500B;8433281013544;EAN;11.46;8;Nuevo;;;;update;0,00;21,00
TQE-2503G;8433281013551;EAN;13.66;1;Nuevo;;;;update;0,00;21,00
CC-9011251-WW;0840006610427;EAN;91.67;0;Nuevo;;;;update;0,00;21,00
CC-9011252-WW;0840006610632;EAN;90.55;0;Nuevo;;;;update;0,00;21,00
CC-9011255-WW;0840006610854;EAN;115.57;4;Nuevo;;;;update;0,00;21,00
CC-9011256-WW;0840006610861;EAN;115.57;0;Nuevo;;;;update;0,00;21,00
TQE-2201B;8433281013926;EAN;22.74;1;Nuevo;;;;update;0,00;21,00
TQE-2201BL;8433281013933;EAN;22.74;2;Nuevo;;;;update;0,00;21,00
TQE-2201R;8433281013940;EAN;22.74;2;Nuevo;;;;update;0,00;21,00
TQE-2202BR;8433281013957;EAN;16.89;4;Nuevo;;;;update;0,00;21,00
TQE-2202S;8433281013964;EAN;16.89;2;Nuevo;;;;update;0,00;21,00
TQC-4701U3C-B;8433281013629;EAN;39.34;11;Nuevo;;;;update;0,00;21,00
TQC-4702U3C-B;8433281013636;EAN;32.2;3;Nuevo;;;;update;0,00;21,00
TQGCC102-B;8433281013605;EAN;56.5;2;Nuevo;;;;update;0,00;21,00
TQGCC103-B;8433281013643;EAN;74.89;2;Nuevo;;;;update;0,00;21,00
TQGCC901-B;8433281013612;EAN;69.62;4;Nuevo;;;;update;0,00;21,00
COO-PCM580-1;8436556141621;EAN;68.15;0;Nuevo;;;;update;0,00;21,00
TQGCC101-B;8433281013568;EAN;58.28;1;Nuevo;;;;update;0,00;21,00
TQC-5701U3C-B;8433281013575;EAN;39.67;3;Nuevo;;;;update;0,00;21,00
TQC-3007U3C;8433281013582;EAN;59.54;1;Nuevo;;;;update;0,00;21,00
TQC-3008U3C;8433281013599;EAN;60.07;0;Nuevo;;;;update;0,00;21,00
ASE-2521B;8436574709155;EAN;11.77;0;Nuevo;;;;update;0,00;21,00
ASE-2520B;8436574709278;EAN;11.34;8;Nuevo;;;;update;0,00;21,00
ASE-2526GR;8436574709391;EAN;12.58;30;Nuevo;;;;update;0,00;21,00
52085;6940533542438;EAN;71.38;0;Nuevo;;;;update;0,00;21,00
R-MORPHEUS-WHAPA1-G;6933412774754;EAN;144.45;7;Nuevo;;;;update;0,00;21,00
UK511303;6974560221158;EAN;52.54;8;Nuevo;;;;update;0,00;21,00
R-CH360-WHAPE3-G-1;6933412774709;EAN;57.87;95;Nuevo;;;;update;0,00;21,00
CC-9011266-WW;0840006674979;EAN;173.08;0;Nuevo;;;;update;0,00;21,00
CC-9011260-WW;0840006664727;EAN;281.56;0;Nuevo;;;;update;0,00;21,00
R-CH160-WHNGI0-G-1;6933412774440;EAN;66.03;0;Nuevo;;;;update;0,00;21,00
R-PIXEL-YE100-G-1;6933412796732;EAN;9.04;0;Nuevo;;;;update;0,00;21,00
R-PIXEL-BU100-G-1;6933412796749;EAN;9.04;0;Nuevo;;;;update;0,00;21,00
R-PIXEL-PK100-G-1;6933412796756;EAN;9.04;0;Nuevo;;;;update;0,00;21,00
R-PIXEL-TV100-G-1;6933412796763;EAN;9.04;0;Nuevo;;;;update;0,00;21,00
R-PIXEL-GY100-G-1;6933412796770;EAN;9.04;0;Nuevo;;;;update;0,00;21,00
NXINFTYZETA;8436587974212;EAN;42.32;98;Nuevo;;;;update;0,00;21,00
NXINFTYOMEGA;8436532169519;EAN;60.21;0;Nuevo;;;;update;0,00;21,00
NXINFTYEPSILON;8436587974205;EAN;48.14;0;Nuevo;;;;update;0,00;21,00
NXINFTYGAMMA;8436587974021;EAN;67.45;0;Nuevo;;;;update;0,00;21,00
NXHUMMERVSNBK;8436587974625;EAN;46.81;2;Nuevo;;;;update;0,00;21,00
NXHUMMERVSNWH;8436587974632;EAN;44.84;0;Nuevo;;;;update;0,00;21,00
NXHUMMERTGM;8436532169502;EAN;80.31;0;Nuevo;;;;update;0,00;21,00
NXHUMMERBLASTER;8436587971327;EAN;80.96;0;Nuevo;;;;update;0,00;21,00
NXHUMMERASTRAWH;8436587973963;EAN;102.13;0;Nuevo;;;;update;0,00;21,00
NXHUMMERASTRABK;8436587973956;EAN;156.25;0;Nuevo;;;;update;0,00;21,00
CS-HYTE-Y40-WW;1220000350502;EAN;107.15;3;Nuevo;;;;update;0,00;21,00
ASM2-006GRY;8436574709674;EAN;13.91;0;Nuevo;;;;update;0,00;21,00
ASM2-024B;8436574709681;EAN;17.62;77;Nuevo;;;;update;0,00;21,00
ASM2-025SL;8436574709698;EAN;17.62;12;Nuevo;;;;update;0,00;21,00
ASM2-026BLU;8436574709704;EAN;17.62;13;Nuevo;;;;update;0,00;21,00
ASM2-027RED;8436574709711;EAN;17.62;21;Nuevo;;;;update;0,00;21,00
AB123011;6974560222995;EAN;67.97;0;Nuevo;;;;update;0,00;21,00
AB123012;6974560223343;EAN;100.98;0;Nuevo;;;;update;0,00;21,00
AB123013;6974560223626;EAN;108.55;0;Nuevo;;;;update;0,00;21,00
AB123014;6974560225798;EAN;89.37;2;Nuevo;;;;update;0,00;21,00
AB123015;6974560225866;EAN;84.02;0;Nuevo;;;;update;0,00;21,00
AB123511;6974560223206;EAN;139.72;0;Nuevo;;;;update;0,00;21,00
AB123512;6974560223275;EAN;139.72;0;Nuevo;;;;update;0,00;21,00
AB128512;6974560225514;EAN;100.01;6;Nuevo;;;;update;0,00;21,00
ASE-2522B;8436574709162;EAN;12.19;0;Nuevo;;;;update;0,00;21,00
ASM2-028B;8436574709896;EAN;17.62;0;Nuevo;;;;update;0,00;21,00
ASM2-029GR;8436574709902;EAN;17.62;10;Nuevo;;;;update;0,00;21,00
PCC-MPC45-1;8437012429550;EAN;37.43;50;Nuevo;;;;update;0,00;21,00
NXHUMMERVAULT;8436587971778;EAN;86.07;0;Nuevo;;;;update;0,00;21,00
ASE-2541B;8435739901182;EAN;12.72;27;Nuevo;;;;update;0,00;21,00
ASE-2542B;8435739901199;EAN;12.45;3;Nuevo;;;;update;0,00;21,00
NXHUMMERHORUS;8436587972706;EAN;81.87;0;Nuevo;;;;update;0,00;21,00
UK511210;8436617920332;EAN;54.21;0;Nuevo;;;;update;0,00;21,00
UK113021;8436617920264;EAN;48.03;0;Nuevo;;;;update;0,00;21,00
COO-MCM-M2F;8437012429277;EAN;28.63;3;Nuevo;;;;update;0,00;21,00
NXHUMMERPLASMA;8436587974885;EAN;78.48;0;Nuevo;;;;update;0,00;21,00
COO-PCM440-0C;8436556141430;EAN;38.5;0;Nuevo;;;;update;0,00;21,00
COO-PCM440-1;8436556144127;EAN;48.64;5;Nuevo;;;;update;0,00;21,00
VK-CASE02LITE;5298003820991;EAN;132.63;0;Nuevo;;;;update;0,00;21,00
VK-CASE02LITEW;5298003821011;EAN;132.63;2;Nuevo;;;;update;0,00;21,00
CC-9011298-WW;0840440487739;EAN;372.62;1;Nuevo;;;;update;0,00;21,00
CC-9011299-WW;0840440487746;EAN;354.79;0;Nuevo;;;;update;0,00;21,00
CC-9011300-WW;0840440487753;EAN;239.52;0;Nuevo;;;;update;0,00;21,00
CC-9011301-WW;0840440487760;EAN;239.38;0;Nuevo;;;;update;0,00;21,00
CC-9011273-WW;0840006682172;EAN;609.64;3;Nuevo;;;;update;0,00;21,00
CC-9011274-WW;0840006682189;EAN;685.23;0;Nuevo;;;;update;0,00;21,00
CC-9011291-WW;0840440485568;EAN;110.64;39;Nuevo;;;;update;0,00;21,00
CC-9011296-WW;0840440487715;EAN;134.43;0;Nuevo;;;;update;0,00;21,00
CC-9011297-WW;0840440487722;EAN;142.97;0;Nuevo;;;;update;0,00;21,00
R-CG530-BKADA4-G-1;6933412765158;EAN;76.61;283;Nuevo;;;;update;0,00;21,00
R-CG530-WHADA4-G-1;6933412765165;EAN;80.09;77;Nuevo;;;;update;0,00;21,00
51916;6940533542803;EAN;80.44;0;Nuevo;;;;update;0,00;21,00
UK80.40.630;6974560221233;EAN;487.22;3;Nuevo;;;;update;0,00;21,00
UK51918;6974560221219;EAN;253.78;1;Nuevo;;;;update;0,00;21,00
80.10.04;6940533543428;EAN;180.4;0;Nuevo;;;;update;0,00;21,00
80.20.12;6940533545057;EAN;272.23;0;Nuevo;;;;update;0,00;21,00
UK80.20.08G3;6974560221011;EAN;328.49;0;Nuevo;;;;update;0,00;21,00
80.30.16;6940533544241;EAN;405.16;0;Nuevo;;;;update;0,00;21,00
80.40.24;6940533545064;EAN;484.19;0;Nuevo;;;;update;0,00;21,00
80.40.20;6940533544258;EAN;516.96;0;Nuevo;;;;update;0,00;21,00
52092;6940533542537;EAN;36.28;3;Nuevo;;;;update;0,00;21,00
52117;6940533545040;EAN;80.07;0;Nuevo;;;;update;0,00;21,00
52101;6940533543466;EAN;52.33;0;Nuevo;;;;update;0,00;21,00
UK113011;8436617920257;EAN;54.14;8;Nuevo;;;;update;0,00;21,00
UK121801;8436617920615;EAN;61.46;0;Nuevo;;;;update;0,00;21,00
UK121802;8436617920622;EAN;62.31;0;Nuevo;;;;update;0,00;21,00
AB123018;8436617920400;EAN;98.77;0;Nuevo;;;;update;0,00;21,00
AB130211;8436617920233;EAN;280.08;0;Nuevo;;;;update;0,00;21,00
AB130212;8436617920240;EAN;259.86;0;Nuevo;;;;update;0,00;21,00
COO-CHA-MP1-0;8436556143083;EAN;74.26;0;Nuevo;;;;update;0,00;21,00
ASE-2519B;8435739902134;EAN;11.99;40;Nuevo;;;;update;0,00;21,00
ASE-2527B;8435739902141;EAN;12.42;0;Nuevo;;;;update;0,00;21,00
ASE-2528B;8435739902158;EAN;12.68;22;Nuevo;;;;update;0,00;21,00
ASE-2529B;8435739902165;EAN;12.79;34;Nuevo;;;;update;0,00;21,00
COO-CHA-GA250-0;8436556143113;EAN;75.55;1;Nuevo;;;;update;0,00;21,00
COO-CHA-GM100-0;8436556143106;EAN;65.62;1;Nuevo;;;;update;0,00;21,00
ASE-3529B;8435739902417;EAN;22.64;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-100C-B;6977277360080;EAN;40.67;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-100C-W;6977277360097;EAN;40.67;5;Nuevo;;;;update;0,00;21,00
EXCS-PL-100R-B;6977277364477;EAN;52.66;20;Nuevo;;;;update;0,00;21,00
EXCS-PL-100R-W;6977277360004;EAN;52.66;7;Nuevo;;;;update;0,00;21,00
EXCS-PL-600C-B;6977277360103;EAN;49.44;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-600C-W;6977277360110;EAN;49.44;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-600R-B;6977277360141;EAN;60.03;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-600R-W;6977277360165;EAN;60.22;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-800C-B;6977277360134;EAN;80.91;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-800C-W;6977277360042;EAN;80.91;0;Nuevo;;;;update;0,00;21,00
EXCS-PL-800R-B;6977277360059;EAN;109.16;32;Nuevo;;;;update;0,00;21,00
EXCS-PL-800R-W;6977277360226;EAN;108.08;3;Nuevo;;;;update;0,00;21,00
EXCS-PM-400C-B;6977277363685;EAN;63.15;0;Nuevo;;;;update;0,00;21,00
EXCS-PM-400C-W;6977277368932;EAN;63.15;0;Nuevo;;;;update;0,00;21,00
EXCS-PM-400R-W;6977277361254;EAN;71.46;123;Nuevo;;;;update;0,00;21,00
EXCS-PM-400R-B;6977277363654;EAN;71.45;127;Nuevo;;;;update;0,00;21,00
EXCS-PR-500R-B;6977277367256;EAN;69.25;0;Nuevo;;;;update;0,00;21,00
EXCS-PR-500R-W;6977277369151;EAN;69.25;39;Nuevo;;;;update;0,00;21,00
EXCS-PR-700R-B;6977277369816;EAN;79.27;20;Nuevo;;;;update;0,00;21,00
EXCS-PR-700R-W;6977277361568;EAN;79.26;46;Nuevo;;;;update;0,00;21,00
EXCS-PR-800R-B;6977277361148;EAN;109.51;3;Nuevo;;;;update;0,00;21,00
EXCS-PR-800R-W;6977277365900;EAN;109.51;0;Nuevo;;;;update;0,00;21,00
EXCS-PR-800C-B;6977277366693;EAN;80.99;0;Nuevo;;;;update;0,00;21,00
EXCS-PR-800C-W;6977277362213;EAN;80.99;0;Nuevo;;;;update;0,00;21,00
EXCS-ZM-800R-W;6977277364712;EAN;111.37;0;Nuevo;;;;update;0,00;21,00
EXCS-ZM-800R-B;6977277368963;EAN;110.6;1;Nuevo;;;;update;0,00;21,00
28300-C500B-1CKR;4719331555023;EAN;107.79;0;Nuevo;;;;update;0,00;21,00
28300-C500W-1CKR;4719331555030;EAN;109.15;0;Nuevo;;;;update;0,00;21,00
EXAC-PL-6050-B;6977277360172;EAN;18.91;6;Nuevo;;;;update;0,00;21,00
EXAC-PL-6050-W;6977277360189;EAN;18.91;5;Nuevo;;;;update;0,00;21,00
R-CH260-BKNGM0-G-1;6933412765233;EAN;66.75;17;Nuevo;;;;update;0,00;21,00
R-CH260-WHNGM0-G-1;6933412765240;EAN;71.26;8;Nuevo;;;;update;0,00;21,00
R-CH690-BKNNA0D-G-1;6933412774037;EAN;102.77;0;Nuevo;;;;update;0,00;21,00
R-CH690-WHNNA0D-G-1;6933412774020;EAN;113.2;19;Nuevo;;;;update;0,00;21,00
CC-9011307-WW;0840440491279;EAN;163.85;0;Nuevo;;;;update;0,00;21,00
CC-9011308-WW;0840440491286;EAN;175.62;3;Nuevo;;;;update;0,00;21,00
CC-9011309-WW;0840440491293;EAN;194.89;0;Nuevo;;;;update;0,00;21,00
CC-9011310-WW;0840440491309;EAN;208.98;2;Nuevo;;;;update;0,00;21,00
AB125801;8436617920639;EAN;142.67;0;Nuevo;;;;update;0,00;21,00
UK52118;8436617920059;EAN;78.04;0;Nuevo;;;;update;0,00;21,00
UK52110V2;8436617921018;EAN;36.04;7;Nuevo;;;;update;0,00;21,00
COO-CHA-GE2000-0;8436624420955;EAN;101.74;2;Nuevo;;;;update;0,00;21,00
COO-SCA2550-UA;8436624420351;EAN;13.25;0;Nuevo;;;;update;0,00;21,00
COO-PCT313-1;8436624420627;EAN;54.81;0;Nuevo;;;;update;0,00;21,00
COO-PCT313-BZ;8436624420634;EAN;69.72;0;Nuevo;;;;update;0,00;21,00
COO-SCA2540-UA;8436624420221;EAN;12.8;19;Nuevo;;;;update;0,00;21,00
COO-CHA-GA450B-0;8436624420672;EAN;58.01;7;Nuevo;;;;update;0,00;21,00
COO-CHA-GA450W-0;8436624420696;EAN;55.66;23;Nuevo;;;;update;0,00;21,00
COO-CHA-GA300B-0;8436624420665;EAN;73.26;1;Nuevo;;;;update;0,00;21,00
COO-CHA-GA300W-0;8436624420689;EAN;68.7;4;Nuevo;;;;update;0,00;21,00
28300-C201W-1CKR;4719331555849;EAN;84.26;18;Nuevo;;;;update;0,00;21,00
28300-C201B-1CKR;4719331555832;EAN;77.52;6;Nuevo;;;;update;0,00;21,00
EXCS-PM-150R-B;6977277360400;EAN;52.66;11;Nuevo;;;;update;0,00;21,00
EXCS-PM-150R-W;6977277360417;EAN;52.66;10;Nuevo;;;;update;0,00;21,00
ASE-3535B;8435739903087;EAN;23.48;3;Nuevo;;;;update;0,00;21,00
UK80.15.42;8436617921162;EAN;453.99;0;Nuevo;;;;update;0,00;21,00
R-ECASEFREE-BKNNM0-G;6933412796930;EAN;29.62;13;Nuevo;;;;update;0,00;21,00
UK121803;8436617921124;EAN;74.26;0;Nuevo;;;;update;0,00;21,00
UK121804;8436617921100;EAN;65.66;7;Nuevo;;;;update;0,00;21,00
UK121805;8436617921308;EAN;59.6;6;Nuevo;;;;update;0,00;21,00
R-CG580-BKADA4-G-2;6933412765394;EAN;104.45;37;Nuevo;;;;update;0,00;21,00
R-CG580-WHADA4-G-2;6933412765400;EAN;107.33;16;Nuevo;;;;update;0,00;21,00
R-MATREXX55-BCAGA4;6933412774334;EAN;85.78;119;Nuevo;;;;update;0,00;21,00
UK52125;8436617921360;EAN;45.69;0;Nuevo;;;;update;0,00;21,00
UK180260;8436617921384;EAN;35.43;0;Nuevo;;;;update;0,00;21,00
AB123533;8436617921506;EAN;83.08;5;Nuevo;;;;update;0,00;21,00
COO-PCM640C-0;8436624422270;EAN;32.25;3;Nuevo;;;;update;0,00;21,00
COO-PCM640C-1;8436624422287;EAN;48.2;2;Nuevo;;;;update;0,00;21,00
COO-PCF750-1;8436556148545;EAN;64.32;9;Nuevo;;;;update;0,00;21,00
COO-CHA-MP1B-0;8436624420214;EAN;73.98;5;Nuevo;;;;update;0,00;21,00
COO-CHA-GM220B-0;8436624420733;EAN;49.3;0;Nuevo;;;;update;0,00;21,00
COO-CHA-GM200B-0;8436624420702;EAN;40.14;3;Nuevo;;;;update;0,00;21,00
COO-CHA-GM200W-0;8436624420719;EAN;38.2;1;Nuevo;;;;update;0,00;21,00
COO-PCM500-0;8436556145421;EAN;6.56;0;Nuevo;;;;update;0,00;21,00
COO-PCM550C-1;8437012429703;EAN;52.13;2;Nuevo;;;;update;0,00;21,00
COO-PCA850-0;8436624420191;EAN;59.32;0;Nuevo;;;;update;0,00;21,00
COO-PCT310-BZ;8436556148019;EAN;83.08;2;Nuevo;;;;update;0,00;21,00
COO-PCT370-1;8436624420641;EAN;64.96;5;Nuevo;;;;update;0,00;21,00
COO-PCT370-BZ;8436624420658;EAN;71.03;0;Nuevo;;;;update;0,00;21,00
COO-SCG2543-8;8436556140556;EAN;16.75;3;Nuevo;;;;update;0,00;21,00
COO-MCM-NVSA;8436624421013;EAN;20.61;1;Nuevo;;;;update;0,00;21,00
CC-9011312-WW;0840440496571;EAN;121.79;15;Nuevo;;;;update;0,00;21,00
CC-9011313-WW;0840440496588;EAN;121.79;0;Nuevo;;;;update;0,00;21,00
CC-9011314-WW;0840440402770;EAN;206.7;9;Nuevo;;;;update;0,00;21,00
CC-9011315-WW;0840440402787;EAN;206.7;0;Nuevo;;;;update;0,00;21,00
CC-9011316-WW;0840440402794;EAN;259.31;11;Nuevo;;;;update;0,00;21,00
CC-9011317-WW;0840440402800;EAN;259.31;0;Nuevo;;;;update;0,00;21,00
CC-9011318-WW;0840440406556;EAN;288.54;0;Nuevo;;;;update;0,00;21,00
CC-9011319-WW;0840440406563;EAN;288.54;0;Nuevo;;;;update;0,00;21,00
CC-9011320-WW;0840440406570;EAN;396.4;19;Nuevo;;;;update;0,00;21,00
CC-9011321-WW;0840440406587;EAN;341.15;0;Nuevo;;;;update;0,00;21,00
CC-9011322-WW;0840440407096;EAN;148.23;6;Nuevo;;;;update;0,00;21,00
CC-9011323-WW;0840440407102;EAN;148.23;0;Nuevo;;;;update;0,00;21,00
CC-9011324-WW;0840440407119;EAN;206.7;16;Nuevo;;;;update;0,00;21,00
CC-9011325-WW;0840440407126;EAN;206.7;1;Nuevo;;;;update;0,00;21,00
EXCS-PR-51DR-B;6977277360066;EAN;70.17;34;Nuevo;;;;update;0,00;21,00
EXCS-PR-51DR-W;6977277360028;EAN;70.17;25;Nuevo;;;;update;0,00;21,00
EXCS-SM-51DR-B;6977277360011;EAN;65.56;14;Nuevo;;;;update;0,00;21,00
EXCS-SM-51DR-W;6977277360073;EAN;65.56;0;Nuevo;;;;update;0,00;21,00
AB123533W;8436617921513;EAN;87.38;4;Nuevo;;;;update;0,00;21,00
